Please select your role below:,Do you currently or have you ever worked in a remote role?,If given the choice which work environment do you prefer?,Describe your reasons for your selection above:,How likely are you to select a job based on the work environment?,I am more productive when I work outside of the office,I am more productive when I work from the office,I am able to maintain strong relationships with my supervisors and coworkers when working remotely,I struggle to maintain relationships with my supervisors and coworkers when working remotely,I am able to achieve a better work/life balance by working remotely,Working remotely has negatively impacted my work/life balance,I am able to maintain a high level of engagement within my organization while working remotely,As a remote worker I feel less engaged with the organizational culture of my company,While working remotely I have received opportunities to grow my career through promotions or role enlargement,Working remotely has hindered opportunities for growth (ie promotions role enlargement) within my organization,Averaged Positive Responses:,Averaged Negative Responses:
Employee,Yes,Fully Remote,"Less distractions, no need for a commute, more concise meetings",5,4,2,4,2,5,1,4,2,4,2,4.2,1.8
Employee,Yes,Fully Remote,"Work life balance, less time commuting, less money spent on gas and food, also there’s less distractions and I’m more productive while remote. ",4,4,2,5,2,5,2,5,2,5,2,4.8,2
Employee,No,Hybrid Model,to be honest i just like the change of pace,4,3,3,3,3,1,1,3,4,2,3,2.4,2.8
Employee,No,Hybrid Model,I like both,5,3,5,1,4,4,3,3,3,3,3,2.8,3.6
Employee,Yes,Fully Remote,I'm able to focus more on my tasks and can better organize myself. ,5,5,1,4,2,5,2,4,1,2,2,4,1.6
Employee,Yes,Fully Remote,Ability to be more self sufficient and stay focused without distractions of peers and or customers pulling away from what work needs to be done. Less work being taken home to work on after hours. More time back to my personal and family life by removing a commute. Financial savings by reducing gas intake along with one car for the household. ,5,5,2,5,2,5,2,5,2,2,5,4.4,2.6
Employee,No,Hybrid Model,"I like to have days where there is on-site collaboration, however having the flexibility to have days to work at home is nice.",3,2,4,2,4,4,2,2,4,2,4,2.4,3.6
Employee,No,Fully Remote,"Less commute time, opportunity to do other things while working.",3,2,4,5,2,5,3,3,3,3,3,3.6,3
Employee,No,Hybrid Model,I would choose hybrid cause that was some days when I do not feel like going in I can just work from home. I do not like working fully from home but being able to sometimes do it would be very nice.  ,5,4,4,1,4,2,4,1,5,2,5,2,4.4
Employee,No,Fully On-Site,I can’t concentrate at home. ,4,2,4,2,4,2,4,2,4,4,2,2.4,3.6
Employee,No,Hybrid Model,I like interacting but not that much,4,2,4,2,4,4,2,4,4,2,4,2.8,3.6
Employee,Yes,Hybrid Model,"Helps build relationships, while allowing flexibility in where you can work.",4,3,3,2,4,5,1,2,5,2,5,2.8,3.6
Employee,No,Hybrid Model,working from home allows for a lot of flexibility. Getting to work in-person of the days helps build connection with coworkers.,4,3,3,3,3,5,3,3,3,3,3,3.4,3
Employee,No,Hybrid Model,I find it more convenient because I can work from home some days and run errands and then others I can go to the office and work with my coworkers.,3,5,4,4,4,5,2,2,2,4,5,4,3.4
Employee,No,Hybrid Model,Sometimes i have a lot going on in my life and it would be so much easier if i didn’t have to leave an hour away to make money. ,5,3,3,3,3,5,3,3,3,3,5,3.4,3.4
Employee,Yes,Fully Remote,It creates a better work/life balance ,4,5,2,5,2,5,2,5,2,5,2,5,2
Employee,No,Hybrid Model,Convenience of time ,4,3,3,3,3,3,3,3,3,3,3,3,3
Employee,No,Hybrid Model,id like to try it first before fully going remote. some people dislike full remote because it makes their home a work space so idk ,4,3,3,3,3,4,3,4,3,3,3,3.4,3
Employee,No,Hybrid Model,Hybrid model provides a good balance work. It gives you opportunities to meet face to face with your team while also not being too physically demanding. ,5,3,3,4,2,5,1,3,4,3,3,3.6,2.6
Employee,No,Hybrid Model,Sometimes i just want to be in the comfort of my own home ,5,2,5,2,5,5,2,5,2,2,5,3.2,3.8
Employee,Yes,Hybrid Model,Sometimes I like to be able to work at my own pace from home but sometimes I also need that extra supervision to motivate me to actually work,5,2,5,4,1,4,2,2,2,1,4,2.6,2.8
Employee,No,Fully On-Site,I work in person,5,5,2,5,1,4,3,4,2,4,1,4.4,1.8
Employee,Yes,Fully Remote,"Lack of transportation, social anxiety",4,5,2,5,2,5,4,4,2,2,2,4.2,2.4
Employee,No,Hybrid Model,I like the idea of having a choice. I find that I do better work in my own space ,5,5,2,4,1,5,1,5,1,4,1,4.6,1.2
Employee,Yes,Hybrid Model,I enjoy the luxury of working in the comfort of home but live interactions and office locations can stimulate ,5,4,4,4,2,2,2,2,4,4,2,3.2,2.8
Employee,Yes,Hybrid Model,"flexible,convenience+better comms",1,2,5,2,5,4,1,2,4,3,4,2.6,3.8
Employee,Yes,Hybrid Model,Flexibility but also having work separate from home,5,4,4,5,2,5,2,5,4,2,4,4.2,3.2
Employee,Yes,Hybrid Model,"I believe there is a lot of value to collaboration, teamwork, and connecting with humans in person. With that being said, I also believe there’s a point where my productivity is hindered and being by myself supports my ability to accomplish tasks and improves my overall mental wellness.  ",4,5,2,2,4,4,2,3,4,3,3,3.4,3
Employee,Yes,Hybrid Model,It would be nice to have a choice. I like to be around people however it would be nice to work from home as well ,4,2,4,5,1,4,1,3,4,3,3,3.4,2.6
Employee,No,Hybrid Model,Gives a family work balance,5,4,4,5,2,4,2,5,2,5,2,4.6,2.4
Employee,Yes,Fully Remote,I prefer working from home. Allows me to do more personal and private work!,5,4,3,4,1,4,1,4,2,4,1,4,1.6
Employee,Yes,Fully Remote,More flexibility ,5,5,4,5,2,5,3,5,3,3,1,4.6,2.6
Employee,Yes,Fully On-Site,Remote work can fail to provide multiple methods of learning styles,4,2,4,2,4,5,3,4,5,2,4,3,4
Employee,Yes,Fully Remote,"Saves time, money & lower stress levels. Less wear and tear on vehicle. ",5,5,2,4,1,5,1,5,4,3,5,4.4,2.6
Employee,Yes,Hybrid Model,I enjoy working with others and perfer doing hands-on work but I want to have the option to work virtually ,5,2,5,2,4,5,2,4,2,2,2,3,3
Employee,No,Fully Remote,flexible schedule,4,4,2,4,2,5,2,5,2,4,2,4.4,2
Employee,Yes,Fully Remote,Flexability ,4,5,2,5,1,5,1,5,1,3,3,4.6,1.6
Employee,Yes,Hybrid Model,"Cut down on commute, yet occasionally still have in-person interactions with team. ",3,4,2,4,2,4,2,4,2,4,2,4,2
Employee,No,Hybrid Model,More flexibility with schedule but still maintaining a level of structure ,5,3,4,3,3,3,3,3,3,3,3,3,3.2
Employee,Yes,Hybrid Model,Having the ability to flex between on-site and remote work allows me to better support the needs of my family while optimizing my productivity. ,5,4,3,2,4,4,1,4,3,1,4,3,3
Employee,Yes,Fully Remote,I prefer fully remote because I feel that it allows me to work to my best potential and have a better work life balance.,5,5,1,4,1,5,1,2,2,5,4,4.2,1.8